,site,trap,X,Y,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
611,PNM,EX1606D1,302406.809,9010934.991,1,0,0,0,NA,NA,NA,NA,NA,NA
612,PNM,EX1606D2,304877.272,9009888.536,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
613,PNM,EX1606D3,308090.753,9009316.572,NA,1,0,0,NA,NA,NA,NA,NA,NA
614,PNM,EX1806D1,271547.629,8961105.574,NA,0,0,0,NA,NA,NA,NA,NA,NA
615,PNM,EX1806D2,278903.445,8962118.576,NA,0,1,0,NA,NA,NA,NA,NA,NA
616,PNM,EX1806D3,261129.173,8952208.235,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
617,PNM,EX1806D4,272169.187,8941626.418,NA,0,0,0,NA,NA,NA,NA,NA,NA
618,PNM,EX1806D5,275785.74,8946264.679,NA,0,0,0,NA,NA,NA,NA,NA,NA
619,RDSA,ex2,316420.632,9730128.285,NA,NA,0,0,0,NA,NA,NA,NA,NA
620,RDSA,ex3,316079.845,9727791.343,NA,NA,0,0,0,NA,NA,NA,NA,NA
621,RDSA,ex4,312460.203,9729974.088,NA,NA,0,0,0,NA,NA,NA,NA,NA
622,RDSA,ex5,319377.512,9719671.312,NA,NA,0,0,0,NA,NA,NA,NA,NA
623,RDSA,ex6,318923.956,9723078.731,NA,NA,0,0,0,NA,NA,NA,NA,NA
624,RDSA,ex7,317063.283,9722229.379,NA,NA,0,0,0,NA,NA,NA,NA,NA
625,RDSA,ex8,324958.603,9722893.704,NA,NA,NA,NA,0,0,0,0,0,NA
626,RDSA,ex9,322237.406,9728278.75,NA,NA,NA,NA,0,0,0,1,0,0
627,PNM,F113R,380618.036,9118584.125,0,0,1,0,NA,NA,NA,NA,NA,NA
628,PNM,F114R,383503.186,9119753.03,0,0,0,0,NA,NA,NA,NA,NA,NA
629,PNM,F115R,384436.423,9112202.91,0,0,0,0,NA,NA,NA,NA,NA,NA
630,PNM,F128R,337135.376,9027506.566,1,0,1,1,NA,NA,NA,NA,NA,NA
631,PNM,F200R,407490.571,9140318.635,0,0,0,0,NA,NA,NA,NA,NA,NA
